forum,year,accept,decision_raw,decision_parse_success,title,abstract,keywords_raw,keyword_document,keyword_count,title_length,abstract_length,topic_cluster,link,num_reviews,mean_score,score_std,rating_parse_success_share,confidence_mean,confidence_parse_success_share,mean_sentiment,mean_politeness,mean_toxicity,mean_constructiveness,review_length_mean,confidence_missing,confidence_mean_imputed,mean_score_percentile,year_topic_cluster,parse_status,mean_sentiment_z,within_year_sentiment_median,high_sentiment,borderline_window,propensity_score,propensity_logit
B12Js_yRb,2018,1,Accept (Poster),1,Learning to Count Objects in Natural Images for Visual Question Answering,"Visual Question Answering (VQA) models have struggled with counting objects in natural images so far. We identify a fundamental problem due to soft attention in these models as a cause. To circumvent this problem, we propose a neural network component that allows robust counting from object proposals. Experiments on a toy task show the effectiveness of this component and we obtain state-of-the-art accuracy on the number category of the VQA v2 dataset without negatively affecting other categories, even outperforming ensemble models with our single model. On a difficult balanced pair metric, the component gives a substantial improvement in counting over a strong baseline by 6.6%.","['visual question answering', 'vqa', 'counting']",visual question answering ; vqa ; counting,3,11,107,4,https://openreview.net/forum?id=B12Js_yRb,3,5.333333333333333,1.1547005383792517,1.0,3.333333333333333,1.0,0.9490666666666666,1.1839460755869424,0.0,1.0462333991745758,355.0,0,3.333333333333333,0.4642082429501085,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,0.733260070840762,0.49489330902739526,1,30-70,0.4349075567601852,-0.26185583880682084
B14uJzW0b,2018,0,Invite to Workshop Track,1,No Spurious Local Minima in a Two Hidden Unit ReLU Network,"Deep learning models can be efficiently optimized via stochastic gradient descent, but there is little theoretical evidence to support this. A key question in optimization is to understand when the optimization landscape of a neural network is amenable to gradient-based optimization. We focus on a simple neural network two-layer ReLU network with two hidden units, and show that all local minimizers are global. This combined with recent work of Lee et al. (2017); Lee et al. (2016) show that gradient descent converges to the global minimizer.","['Non-convex optimization', 'Deep Learning']",non convex optimization ; deep learning,2,11,86,7,https://openreview.net/forum?id=B14uJzW0b,3,5.333333333333333,1.1547005383792517,1.0,3.0,1.0,0.4437333333333333,1.1196331596832223,0.0,1.1162457345185757,314.3333333333333,0,3.0,0.4642082429501085,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,-0.6066139036088654,0.49489330902739526,0,30-70,0.4389623501559653,-0.2453743686375764
B16yEqkCZ,2018,0,Reject,1,Avoiding Catastrophic States with Intrinsic Fear,"Many practical reinforcement learning problems contain catastrophic states that the optimal policy visits infrequently or never. Even on toy problems, deep reinforcement learners periodically revisit these states, once they are forgotten under a new policy. In this paper, we introduce intrinsic fear, a learned reward shaping that accelerates deep reinforcement learning and guards oscillating policies against periodic catastrophes. Our approach incorporates a second model trained via supervised learning to predict the probability of imminent catastrophe. This score acts as a penalty on the Q-learning objective. Our theoretical analysis demonstrates that the perturbed objective yields the same average return under strong assumptions and an $\\epsilon$-close average return under weaker assumptions. Our analysis also shows robustness to classification errors. Equipped with intrinsic fear, our DQNs solve the toy environments and improve on the Atari games Seaquest, Asteroids, and Freeway.","['reinforcement learning', 'safe exploration', 'dqn']",reinforcement learning ; safe exploration ; dqn,3,6,139,1,https://openreview.net/forum?id=B16yEqkCZ,3,5.666666666666667,1.1547005383792517,1.0,4.0,1.0,-0.3218666666666667,0.3989618094178717,0.0,0.9054505005561736,390.3333333333333,0,4.0,0.5667028199566161,2018_1,decision=1;rating_share=1.0;confidence_share=1.0,-2.6365760042130235,0.49489330902739526,0,30-70,0.713173531473961,0.910847379343603
B1CNpYg0-,2018,0,Reject,1,Learning to Compute Word Embeddings On the Fly,"Words in natural language follow a Zipfian distribution whereby some words are frequent but most are rare. Learning representations for words in the ``long tail'' of this distribution requires enormous amounts of data. Representations of rare words trained directly on end tasks are usually poor, requiring us to pre-train embeddings on external data, or treat all rare words as out-of-vocabulary words with a unique representation. We provide a method for predicting embeddings of rare words on the fly from small amounts of auxiliary data with a network trained end-to-end for the downstream task. We show that this improves results against baselines where embeddings are trained on the end task for reading comprehension, recognizing textual entailment and language modeling.","['NLU', 'word embeddings', 'representation learning']",nlu ; word embeddings ; representation learning,3,8,123,11,https://openreview.net/forum?id=B1CNpYg0-,3,5.666666666666667,1.1547005383792517,1.0,3.6666666666666665,1.0,0.9599,0.3436033854114969,0.0,1.1972251109288807,387.6666666666667,0,3.6666666666666665,0.5667028199566161,2018_11,decision=1;rating_share=1.0;confidence_share=1.0,0.7619842820344381,0.49489330902739526,1,30-70,0.5675658280799776,0.2719266281105157
B1D6ty-A-,2018,0,Reject,1,Training Autoencoders by Alternating Minimization,"We present DANTE, a novel method for training neural networks, in particular autoencoders, using the alternating minimization principle. DANTE provides a distinct perspective in lieu of traditional gradient-based backpropagation techniques commonly used to train deep networks. It utilizes an adaptation of quasi-convex optimization techniques to cast autoencoder training as a bi-quasi-convex optimization problem. We show that for autoencoder configurations with both differentiable (e.g. sigmoid) and non-differentiable (e.g. ReLU) activation functions, we can perform the alternations very effectively. DANTE effortlessly extends to networks with multiple hidden layers and varying network configurations. In experiments on standard datasets, autoencoders trained using the proposed method were found to be very promising when compared to those trained using traditional backpropagation techniques, both in terms of training speed, as well as feature extraction and reconstruction performance.","['Deep Learning', 'Autoencoders', 'Alternating Optimization']",deep learning ; autoencoders ; alternating optimization,3,5,137,7,https://openreview.net/forum?id=B1D6ty-A-,3,5.666666666666667,1.5275252316519463,1.0,4.333333333333333,1.0,0.9896,0.9912983859233416,0.0,0.8109022600254355,380.3333333333333,0,4.333333333333333,0.5667028199566161,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,0.8407328117992547,0.49489330902739526,1,30-70,0.5755431073307983,0.3045036773811241
B1EA-M-0Z,2018,1,Accept (Poster),1,Deep Neural Networks as Gaussian Processes,"It has long been known that a single-layer fully-connected neural network with an i.i.d. prior over its parameters is equivalent to a Gaussian process (GP), in the limit of infinite network width. This correspondence enables exact Bayesian inference for infinite width neural networks on regression tasks by means of evaluating the corresponding GP. Recently, kernel functions which mimic multi-layer random neural networks have been developed, but only outside of a Bayesian framework. As such, previous work has not identified that these kernels can be used as covariance functions for GPs and allow fully Bayesian prediction with a deep neural network. In this work, we derive the exact equivalence between infinitely wide, deep, networks and GPs with a particular covariance function. We further develop a computationally efficient pipeline to compute this covariance function. We then use the resulting GP to perform Bayesian inference for deep neural networks on MNIST and CIFAR-10. We observe that the trained neural network accuracy approaches that of the corresponding GP with increasing layer width, and that the GP uncertainty is strongly correlated with trained network prediction error. We further find that test performance increases as finite-width trained networks are made wider and more similar to a GP, and that the GP-based predictions typically outperform those of finite-width networks. Finally we connect the prior distribution over weights and variances in our GP formulation to the recent development of signal propagation in random neural networks.","['Gaussian process', 'Bayesian regression', 'deep networks', 'kernel methods']",gaussian process ; bayesian regression ; deep networks ; kernel methods,4,6,245,4,https://openreview.net/forum?id=B1EA-M-0Z,3,5.666666666666667,1.5275252316519463,1.0,3.6666666666666665,1.0,0.9252333333333334,0.8367079830467445,0.0,1.0677843014167374,526.0,0,3.6666666666666665,0.5667028199566161,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,0.6700668062146748,0.49489330902739526,1,30-70,0.5988217685323693,0.40055820941869436
B1EPYJ-C-,2018,0,Reject,1,Federated Learning: Strategies for Improving Communication Efficiency,"Federated Learning is a machine learning setting where the goal is to train a high-quality centralized model while training data remains distributed over a large number of clients each with unreliable and relatively slow network connections. We consider learning algorithms for this setting where on each round, each client independently computes an update to the current model based on its local data, and communicates this update to a central server, where the client-side updates are aggregated to compute a new global model. The typical clients in this setting are mobile phones, and communication efficiency is of the utmost importance. In this paper, we propose two ways to reduce the uplink communication costs: structured updates, where we directly learn an update from a restricted space parametrized using a smaller number of variables, e.g. either low-rank or a random mask; and sketched updates, where we learn a full model update and then compress it using a combination of quantization, random rotations, and subsampling before sending it to the server. Experiments on both convolutional and recurrent networks show that the proposed methods can reduce the communication cost by two orders of magnitude.",,missingkeyword,0,7,193,3,https://openreview.net/forum?id=B1EPYJ-C-,3,5.666666666666667,1.1547005383792517,1.0,4.333333333333333,1.0,0.9105,0.4130636563634889,0.0,0.9465855710970172,376.3333333333333,0,4.333333333333333,0.5667028199566161,2018_3,decision=1;rating_share=1.0;confidence_share=1.0,0.6310018789912754,0.49489330902739526,1,30-70,0.5464185770248923,0.18621050969162636
B1IDRdeCW,2018,1,Accept (Poster),1,The High-Dimensional Geometry of Binary Neural Networks,"Recent research has shown that one can train a neural network with binary weights and activations at train time by augmenting the weights with a high-precision continuous latent variable that accumulates small changes from stochastic gradient descent. However, there is a dearth of work to explain why one can effectively capture the features in data with binary weights and activations. Our main result is that the neural networks with binary weights and activations trained using the method of Courbariaux, Hubara et al. (2016) work because of the high-dimensional geometry of binary vectors. In particular, the ideal continuous vectors that extract out features in the intermediate representations of these BNNs are well-approximated by binary vectors in the sense that dot products are approximately preserved. Compared to previous research that demonstrated good classification performance with BNNs, our work explains why these BNNs work in terms of HD geometry. Furthermore, the results and analysis used on BNNs are shown to generalize to neural networks with ternary weights and activations. Our theory serves as a foundation for understanding not only BNNs but a variety of methods that seek to compress traditional neural networks. Furthermore, a better understanding of multilayer binary neural networks serves as a starting point for generalizing BNNs to other neural network architectures such as recurrent neural networks.","['Binary Neural Networks', 'Neural Network Visualization']",binary neural networks ; neural network visualization,2,8,218,9,https://openreview.net/forum?id=B1IDRdeCW,3,6.0,1.7320508075688772,1.0,3.6666666666666665,1.0,0.9371333333333332,1.1591026565415197,0.0,2.1198274626893263,336.0,0,3.6666666666666665,0.6637744034707158,2018_9,decision=1;rating_share=1.0;confidence_share=1.0,0.7016192474335738,0.49489330902739526,1,30-70,0.4887885239833561,-0.04485342234053467
B1KJJf-R-,2018,0,Invite to Workshop Track,1,Neural Program Search: Solving Data Processing Tasks from Description and Examples,"We present a Neural Program Search, an algorithm to generate programs from natural language description and a small number of input / output examples. The algorithm combines methods from Deep Learning and Program Synthesis fields by designing rich domain-specific language (DSL) and defining efficient search algorithm guided by a Seq2Tree model on it. To evaluate the quality of the approach we also present a semi-synthetic dataset of descriptions with test examples and corresponding programs. We show that our algorithm significantly outperforms sequence-to-sequence model with attention baseline.","['Deep learning', 'Structured Prediction', 'Natural Language Processing', 'Neural Program Synthesis']",deep learning ; structured prediction ; natural language processing ; neural program synthesis,4,11,90,10,https://openreview.net/forum?id=B1KJJf-R-,3,5.333333333333333,1.5275252316519463,1.0,4.0,1.0,0.6435333333333334,0.4825636608582345,0.0,1.9265791347497905,328.3333333333333,0,4.0,0.4642082429501085,2018_10,decision=1;rating_share=1.0;confidence_share=1.0,-0.0768510670091905,0.49489330902739526,0,30-70,0.5305637923216207,0.12240778372552104
B1NGT8xCZ,2018,0,Reject,1,Principled Hybrids of Generative and Discriminative Domain Adaptation,"We propose a probabilistic framework for domain adaptation that blends both generative and discriminative modeling in a principled way. Under this framework, generative and discriminative models correspond to specific choices of the prior over parameters. This provides us a very general way to interpolate between generative and discriminative extremes through different choices of priors. By maximizing both the marginal and the conditional log-likelihoods, models derived from this framework can use both labeled instances from the source domain as well as unlabeled instances from \\emph{both} source and target domains. Under this framework, we show that the popular reconstruction loss of autoencoder corresponds to an upper bound of the negative marginal log-likelihoods of unlabeled instances, where marginal distributions are given by proper kernel density estimations. This provides a way to interpret the empirical success of autoencoders in domain adaptation and semi-supervised learning. We instantiate our framework using neural networks, and build a concrete model, \\emph{DAuto}. Empirically, we demonstrate the effectiveness of DAuto on text, image and speech datasets, showing that it outperforms related competitors when domain adaptation is possible.","['domain adaptation', 'neural networks', 'generative models', 'discriminative models']",domain adaptation ; neural networks ; generative models ; discriminative models,4,8,182,5,https://openreview.net/forum?id=B1NGT8xCZ,3,5.333333333333333,0.5773502691896257,1.0,3.6666666666666665,1.0,0.1571,0.4582052408139365,0.0,1.2209461307082308,213.3333333333333,0,3.6666666666666665,0.4642082429501085,2018_5,decision=1;rating_share=1.0;confidence_share=1.0,-1.3666123406993893,0.49489330902739526,0,30-70,0.27259435826747525,-0.9814994655101903
