paper_id,title,Forum,mean_sentiment,min_sentiment,sentiment_std,mean_positive_ratio,mean_negative_ratio,mean_politeness,mean_toxicity,mean_constructiveness,num_reviews,mean_review_length,final_decision_text,decision,mean_score,score_std,score_count,mean_confidence,confidence_std,confidence_count,year,decision_label
1,Predicting Floor-Level for 911 Calls with Neural Networks and Smartphone Sensor Data,ryBnUWb0b,0.6416242843174521,0.5019311452451685,0.12210514360621401,0.07500047627660215,0.037366962078736354,0.7548666604837733,0.04867466489821346,0.28924382967165524,3.0,330.6666666666667,Accept (Poster),1,6.333333333333333,0.5773502691896257,3.0,4.0,1.0,3.0,2018,accept
2,Some Considerations on Learning to Explore via Meta-Reinforcement Learning,Skk3Jm96W,0.8054050290489676,0.7467189515657595,0.054680538735796244,0.09917173014494358,0.031269725697460254,0.7623816215021133,0.0319717792192059,0.513270925713454,3.0,617.0,Invite to Workshop Track,0,5.666666666666667,1.5275252316519465,3.0,4.333333333333333,0.5773502691896258,3.0,2018,reject
3,"MACH: Embarrassingly parallel $K$-class classification in $O(d\\log{K})$ memory and $O(K\\log{K} + d\\log{K})$ time, instead of $O(Kd)$",r1RQdCg0W,0.5938871328817551,0.2528810190949756,0.2953772122152535,0.0718495316755903,0.03558917762891704,0.6898178060389274,0.06577804455328885,0.14020117734401946,3.0,388.0,Reject,0,6.0,0.0,3.0,4.0,0.0,3.0,2018,reject
4,Deterministic Policy Imitation Gradient Algorithm,rJ3fy0k0Z,0.6801785863281916,0.6087848406227692,0.0686445813371687,0.07796598741890974,0.048813495734086436,0.7142943841330632,0.05071993160060791,0.3774382281884206,3.0,290.3333333333333,Reject,0,5.333333333333333,0.5773502691896257,3.0,3.6666666666666665,0.5773502691896257,3.0,2018,reject
5,Searching for Activation Functions,SkBYYyZRZ,0.6560205615989039,0.4031236699156432,0.22171260663781467,0.10359219858156027,0.038266121112929624,0.7145067881194835,0.05055100927441353,0.2834040891462115,3.0,153.66666666666666,Invite to Workshop Track,0,5.333333333333333,1.5275252316519468,3.0,4.666666666666667,0.5773502691896257,3.0,2018,reject
6,Improving Search Through A3C Reinforcement Learning Based Conversational Agent,rkfbLilAb,-0.1694818046840797,-0.7071545301079978,0.8204276623647585,0.053005393256884824,0.04885168097502727,0.6969429064891003,0.056574926170689245,0.5312180601233212,3.0,333.6666666666667,Reject,0,3.3333333333333335,1.5275252316519468,3.0,4.666666666666667,0.5773502691896257,3.0,2018,reject
7,Identifying Analogies Across Domains,BkN_r2lR-,0.8095501651728655,0.7913224158128052,0.01590830348524357,0.11210353882818473,0.03629803498358739,0.7234848175521797,0.06304540072245456,0.16138979453347824,3.0,377.6666666666667,Accept (Poster),1,5.333333333333333,1.5275252316519465,3.0,3.6666666666666665,0.5773502691896258,3.0,2018,accept
8,Bi-Directional Block Self-Attention for Fast and Memory-Efficient Sequence Modeling,H1cWzoxA-,0.25140991448815764,-0.7445285949180042,0.8625270868630888,0.08785514035997788,0.05976855362571571,0.7423442143725657,0.031975363372776296,0.32454192567749335,3.0,237.0,Accept (Poster),1,7.0,1.7320508075688772,3.0,4.0,0.0,3.0,2018,accept
9,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,S1cZsf-RW,0.15728371819314854,-0.4426333002781105,0.5853272129578844,0.05125001858045336,0.03858223708658491,0.7030093355355443,0.07800012386968909,0.480041451335056,3.0,243.0,Accept (Poster),1,5.666666666666667,0.5773502691896258,3.0,3.3333333333333335,1.1547005383792515,3.0,2018,accept
10,The loss surface and expressivity of deep convolutional neural networks,BJjquybCW,0.3798988353883042,-0.4159787850426028,0.5574693415846291,0.115236788341257,0.06643663722628045,0.8169468689209991,0.04902850849794781,0.3892651160442723,4.0,240.5,Invite to Workshop Track,0,5.5,1.2909944487358056,4.0,2.75,0.9574271077563381,4.0,2018,reject
